ID,GeneName,GeneID,UniProtID,STRING_ID
2520,CDH11,1009,P55287,9606.ENSP00000268603
2521,CDH13,1012,,9606.ENSP00000268613
2522,ZCCHC14,23174,,9606.ENSP00000268616
2523,ADAD2,161931,,9606.ENSP00000268624
2524,IRF8,3394,,9606.ENSP00000268638
2525,ZNF174,7727,,9606.ENSP00000268655
2526,RPL3L,6123,,9606.ENSP00000268661
2527,NDUFB10,4716,,9606.ENSP00000268668
2528,DEF8,54849,,9606.ENSP00000268676
2529,CBFA2T3,863,,9606.ENSP00000268679
2530,GALNS,2588,,9606.ENSP00000268695
2531,GAS8,2622,,9606.ENSP00000268699
2532,MED9,55090,,9606.ENSP00000268711
2533,NCOR1,9611,,9606.ENSP00000268712
2534,COPS3,8533,,9606.ENSP00000268717
2535,CPNE7,27132,,9606.ENSP00000268720
2536,NEK8,284086,,9606.ENSP00000268766
2537,GFOD2,81577,,9606.ENSP00000268797
2538,NOB1,28987,,9606.ENSP00000268802
2539,PRPSAP2,5636,,9606.ENSP00000268835
2540,UNC45B,,,9606.ENSP00000268876
2541,EPN3,55040,,9606.ENSP00000268933
2542,LRRC46,90506,,9606.ENSP00000269025
2543,G6PC3,92579,,9606.ENSP00000269097
2544,CDH2,1000,,9606.ENSP00000269141
2545,AFG3L2,10939,Q9Y4W6,9606.ENSP00000269143
2546,IMPA2,3613,O14732,9606.ENSP00000269159
2547,SLC39A6,25800,,9606.ENSP00000269187
2548,GALNT1,2589,,9606.ENSP00000269195
2549,ASXL3,80816,,9606.ENSP00000269197
2550,GAREM1,64762,,9606.ENSP00000269209
2551,ESCO1,114799,,9606.ENSP00000269214
2552,GATA6,2627,,9606.ENSP00000269216
2553,RMC1,29919,,9606.ENSP00000269221
2554,NPC1,4864,,9606.ENSP00000269228
2555,SAT2,112483,,9606.ENSP00000269298
2556,ASGR1,432,,9606.ENSP00000269299
2557,TP53,7157,P04637,9606.ENSP00000269305
2558,TRP53,22059,,9606.ENSP00000269305
2559,TTYH2,94015,,9606.ENSP00000269346
2560,TRIM65,201292,,9606.ENSP00000269383
2561,CBX8,57332,,9606.ENSP00000269385
2562,RNF157,114804,,9606.ENSP00000269391
2563,CEP131,22994,,9606.ENSP00000269392
2564,ZNF750,79755,,9606.ENSP00000269394
2565,CBX4,8535,,9606.ENSP00000269397
2566,RNF165,494470,,9606.ENSP00000269439
2567,DYM,54808,,9606.ENSP00000269445
2568,SERPINB13,5275,,9606.ENSP00000269489
2569,ZCCHC2,54877,,9606.ENSP00000269499
2570,CBLN2,147381,,9606.ENSP00000269503
2571,ERBB2,2064,P04626,9606.ENSP00000269571
2572,KRT10,3858,P13645,9606.ENSP00000269576
2573,PNMT,5409,P11086,9606.ENSP00000269582
2574,IGFBP4,3487,,9606.ENSP00000269593
2575,AKAP8,10270,,9606.ENSP00000269701
2576,CYP4F22,126410,,9606.ENSP00000269703
2577,SLC39A3,29985,,9606.ENSP00000269740
2578,ZNF544,27300,,9606.ENSP00000269829
2579,PFKL,5211,,9606.ENSP00000269848
2580,FEM1A,55527,,9606.ENSP00000269856
2581,CIB3,117286,,9606.ENSP00000269878
2582,CALR3,125972,Q96L12,9606.ENSP00000269881
2583,SH3GL1,6455,,9606.ENSP00000269886
2584,PGPEP1,54858,,9606.ENSP00000269919
2585,ZNF45,7596,,9606.ENSP00000269973
2586,BCKDHA,593,,9606.ENSP00000269980
2587,SSBP4,170463,,9606.ENSP00000270061
2588,SMG9,56006,,9606.ENSP00000270066
2589,PSG9,5678,,9606.ENSP00000270077
2590,HUNK,30811,,9606.ENSP00000270112
2591,LRRC56,115399,,9606.ENSP00000270115
2592,IFNAR1,3454,,9606.ENSP00000270139
2593,SOD1,6647,P00441,9606.ENSP00000270142
2594,SIK1,150094,P57059,9606.ENSP00000270162
2595,SIK1B,102724428,,9606.ENSP00000270162
2596,DNMT3L,29947,,9606.ENSP00000270172
2597,SCYL1,57410,,9606.ENSP00000270176
2598,DMWD,1762,,9606.ENSP00000270223
2599,SAE1,10055,,9606.ENSP00000270225
2600,BCAM,4059,,9606.ENSP00000270233
2601,LMTK3,114783,,9606.ENSP00000270238
2602,SLC6A3,6531,Q01959,9606.ENSP00000270349
2603,CACNG8,,Q8WXS5,9606.ENSP00000270458
